RoundNum_ByDate,Sample_ID,Site,Rep,Crucible_ID,In-oven ,Out-Oven ,"Empty Heated 
Crucible_Weight",In-oven,Out-oven,"SampleStart 
Crucible_Weight",In-Furnace ,Out-Furnace ,In-oven,Out-oven,"SampleEnd
Crucible_Weight",LOI_g,SOM_Percent,Mean_Blank_LOI-g,Adjusted_LOI,Adjusted_SOM_Percent,Comments
9_Dec6,S_DCH_H1,DC,2,29,12/6/23 8:00,12/6/23 10:00,11.6377,12/6/23 11:30,12/6/23 13:30,13.7125,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,13.5316,0.1809,8.72,0.0002,0.1811,8.72855215,
9_Dec6,S_DCH_H1,DC,1,52,12/6/23 8:00,12/6/23 10:00,11.3891,12/6/23 11:30,12/6/23 13:30,12.6901,12/6/23 14:15,12/7/23 7:45,12/7/23 8:00,12/7/23 10:00,12.5812,0.1089,8.37,0.0002,0.1091,8.385857033,
4_Nov22,S_DCH_H2,DC,1,110,11/22/23 8:25,11/22/23 10:30,9.0759,11/22/23 12:13,11/22/23 14:13,10.088,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,10.0162,0.0718,7.09,0.00125,0.07305,7.217666239,
4_Nov22,S_DCH_H2,DC,2,80,11/22/23 8:25,11/22/23 10:30,8.7967,11/22/23 12:13,11/22/23 14:13,9.7216,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,9.66,0.0616,6.66,0.00125,0.06285,6.795329225,
5_Nov23,S_DCH_H3,DC,1,26,11/23/23 8:30,11/23/23 10:30,9.3433,11/23/23 12:00,11/23/23 14:00,10.3886,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,10.3172,0.0714,6.83,0.00125,0.07265,6.950157849,
5_Nov23,S_DCH_H3,DC,2,36,11/23/23 8:30,11/23/23 10:30,11.2319,11/23/23 12:00,11/23/23 14:00,12.2857,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,12.2182,0.0675,6.41,0.00125,0.06875,6.524008351,
10_Dec14,S_DCH_H4,DC,2,34,12/14/23 7:30,12/14/23 9:40,11.7193,12/14/23 10:50,12/14/23 13:00,13.4629,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,13.3527,0.1102,6.32,-0.0003,0.1099,6.303051159,
10_Dec14,S_DCH_H4,DC,1,79,12/14/23 7:30,12/14/23 9:40,9.1348,12/14/23 10:50,12/14/23 13:00,10.5274,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,10.4406,0.0868,6.23,-0.0003,0.0865,6.211403131,
3_Nov17,S_DCH_H5,DC,2,80,11/17/23 8:26,11/17/23 10:26,8.7959,11/17/23 11:30,11/17/23 13:30,9.598,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,9.5358,0.0622,7.75,0.00005,0.06225,7.760877696,
3_Nov17,S_DCH_H5,DC,1,65,11/17/23 8:26,11/17/23 10:26,11.5691,11/17/23 11:30,11/17/23 13:30,12.3864,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,12.3232,0.0632,7.73,0.00005,0.06325,7.738896366,
3_Nov17,S_DCH_H6,DC,1,87,11/17/23 8:26,11/17/23 10:26,9.7909,11/17/23 11:30,11/17/23 13:30,10.8453,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.7669,0.0784,7.44,0.00005,0.07845,7.440250379,
3_Nov17,S_DCH_H6,DC,2,86,11/17/23 8:26,11/17/23 10:26,10.1048,11/17/23 11:30,11/17/23 13:30,11.0558,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.9909,0.0649,6.82,0.00005,0.06495,6.829652997,
3_Nov17,S_DCH_H7,DC,2,62,11/17/23 8:26,11/17/23 10:26,9.6543,11/17/23 11:30,11/17/23 13:30,10.161,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.0977,0.0633,12.49,0.00005,0.06335,12.50246694,sample error
3_Nov17,S_DCH_H7,DC,1,61,11/17/23 8:26,11/17/23 10:26,11.2339,11/17/23 11:30,11/17/23 13:30,11.9394,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,11.8877,0.0517,7.33,0.00005,0.05175,7.335223246,
7_Nov30,S_DCH_H8,DC,1,58,30-Nov 830AM,11/30/23 10:30,10.5318,11/30/23 12:00,11/30/23 14:00,11.8205,11/30/23 15:30,12/1/23 8:00,12/1/23 8:30,12/1/23 11:00,11.7165,0.104,8.07,-0.00005,0.10395,8.066268332,
