Cage_ID,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
S_DCN_H4,2,1.2404,5.4966,10/14/24 13:00,10/18/24 19:00,4.2561,3.0157,29.14571684,0.411347283,0.267375734
S_DCN_H5,1,1.2172,3.6505,10/14/24 13:00,10/18/24 19:00,2.6908,1.4736,39.44026631,0.651262215,0.42332044
S_DCN_H5,2,1.3523,5.2489,10/14/24 13:00,10/18/24 19:00,4.0417,2.6894,30.9808551,0.448873355,0.291767681
S_DCN_H6,1,1.2246,4.7691,10/14/24 13:00,10/18/24 19:00,3.3755,2.1509,39.31725208,0.647914826,0.421144637
S_DCN_H6,2,1.2116,4.1208,10/14/24 13:00,10/18/24 19:00,3.3597,2.1481,26.16183143,0.354313114,0.230303524
S_DCN_H7,1,1.132,4.7692,10/14/24 13:00,10/18/24 19:00,3.675,2.543,30.08358078,0.430279198,0.279681479
S_DCN_H7,2,1.2744,5.045,10/14/24 13:00,10/18/24 19:00,3.5942,2.3198,38.47663502,0.625398741,0.406509182
S_DCN_H8,1,1.1378,5.1234,11/1/24 13:00,11/3/24 13:10,3.4016,2.2638,43.20052188,0.760579557,0.494376712
S_DCN_H8,2,1.1494,7.2736,11/1/24 13:00,11/3/24 13:10,4.9715,3.8221,37.59021586,0.602312865,0.391503362
S_DCS_H1,1,1.1392,4.5965,10/31/24 13:00,11/2/24 14:45,3.4942,2.355,31.8832615,0.468067941,0.304244161
S_DCS_H1,2,1.1037,4.3137,10/31/24 13:00,11/2/24 14:45,3.3106,2.2069,31.24922118,0.454528977,0.295443835
S_DCS_H2,1,1.0898,2.767,10/28/24 14:45,10/30/24 18:15,2.2771,1.1873,29.20939661,0.412616862,0.26820096
S_DCS_H2,2,1.1083,4.0199,10/28/24 14:45,10/30/24 18:15,2.9693,1.861,36.08325319,0.564535196,0.366947878
S_DCS_H3,1,1.1625,4.0161,10/31/24 13:00,11/2/24 14:45,3.3216,2.1591,24.33767872,0.321661804,0.209080172
S_DCS_H3,2,1.1535,3.3666,10/31/24 13:00,11/2/24 14:45,2.8379,1.6844,23.88956667,0.313880314,0.204022204
S_DCS_H4,1,1.1189,3.3358,10/28/24 14:45,10/30/24 18:15,2.4791,1.3602,38.64405251,0.629833848,0.409392001
S_DCS_H4,2,1.1151,4.6027,10/28/24 14:45,10/30/24 18:15,3.5281,2.413,30.81201973,0.445337754,0.28946954
S_DCS_H5,1,1.102,5.5443,10/28/24 14:45,10/30/24 18:15,3.7139,2.6119,41.20388087,0.700792527,0.455515142
S_DCS_H5,2,1.1248,4.8144,10/28/24 14:45,10/30/24 18:15,3.376,2.2512,38.98525585,0.638948117,0.415316276
S_DCS_H6,1,1.1295,6.6519,10/28/24 14:45,10/30/24 18:15,4.7031,3.5736,35.28900478,0.545332438,0.354466085
S_DCS_H6,2,1.1245,4.4652,10/28/24 14:45,10/30/24 18:15,3.3586,2.2341,33.1247942,0.495322501,0.321959626
S_DCS_H7,1,1.1057,5.1578,10/28/24 14:45,10/30/24 18:15,3.676,2.5703,36.56869278,0.576508579,0.374730576
S_DCS_H7,2,1.1224,3.8378,10/28/24 14:45,10/30/24 18:15,2.9611,1.8387,32.28621934,0.476804264,0.309922772
S_DCS_H8,1,1.0929,3.1671,10/31/24 13:00,11/2/24 14:45,2.5942,1.5013,27.62028734,0.381602611,0.248041697
S_DCS_H8,2,1.1265,2.3438,10/31/24 13:00,11/2/24 14:45,2.0512,0.9247,24.03680276,0.316426949,0.205677517
S_FNH_H1,1,1.1092,2.2735,10/18/24 20:00,11/3/24 14:10,1.9962,0.887,23.81688568,0.312626832,0.203207441
S_FNH_H1,2,2.1622,3.559,10/18/24 20:00,11/3/24 16:00,3.0822,0.92,34.13516609,0.51826087,0.336869565
S_FNH_H2,1,2.2772,6.3511,10/18/24 20:00,11/3/24 15:55,5.4364,3.1592,22.45268661,0.289535325,0.188197962
S_FNH_H2,2,2.1569,5.2078,10/18/24 20:00,11/3/24 15:55,4.5301,2.3732,22.21311744,0.285563796,0.185616467
