Cage_ID*,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
SCS_H5,1,1.2705,5.1104,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.027,2.7565,28.21427641,0.393034645,0.25547252
SCS_H6,1,1.2711,6.1729,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.3541,3.083,37.10473704,0.589944859,0.383464158
SCS_H7,1,1.2689,5.1414,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,3.7571,2.4882,35.74693351,0.556345953,0.361624869
SCS_H8,1,1.267,7.1552,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,5.0291,3.7621,36.10780884,0.565136493,0.36733872
UPH_H1,1,1.2825,5.3052,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,4.0348,2.7523,31.58077908,0.46157759,0.300025433
UPH_H2,1,1.2813,4.5816,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.7154,2.4341,26.24609884,1.179532476,0.766696109
UPH_H3,1,1.2808,5.5765,TOP 10/17/2023 16:50:00,10/19/24 9:15,4.4009,3.1201,27.36690179,0.86923496,0.565002724
UPH_H4,1,1.2829,6.5865,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,4.6526,3.3697,36.46391131,0.20108615,0.130705998
UPH_H5,1,1.2816,7.113,TOP 10/17/2023 16:50:00,10/19/24 9:15,4.9995,3.7179,36.24344068,0.56846607,0.369502945
UPH_H6,1,1.2782,5.3302,TOP 10/17/2023 16:50:00,10/19/24 9:15,4.1601,2.8819,28.87709773,0.088866794,0.057763416
UPH_H8,1,1.2775,4.4902,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.4222,2.1447,33.24306658,0.497971744,0.323681634
UPH_V1,1,1.2806,4.7289,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.4768,2.1962,36.31064583,0.570121118,0.370578727
UPH_V2,1,1.2803,4.1151,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.3527,2.0724,26.89431353,0.367882648,0.239123721
UPH_V3,1,1.2816,6.6154,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.8442,3.5626,33.20709438,0.497164992,0.323157245
UPH_V4,1,1.2784,4.6835,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.4179,2.1395,37.16777775,0.59154008,0.384501052
UPH_V5,1,1.3002,5.8992,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.4731,3.1729,31.00891498,0.449462637,0.292150714
UPH_V6,1,1.2761,4.4962,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.6136,2.3375,27.40908667,0.377582888,0.245428877
UPH_V7,1,1.2812,4.9601,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.8465,2.5653,30.26991764,0.434101275,0.282165829
UPH_V8,1,1.2823,7.2428,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,5.2175,3.9352,33.97869306,0.514662533,0.334530647
UPS_H1,1,1.2766,6.3254,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.5199,3.2433,35.7609729,0.556686091,0.361845959
UPS_H2,1,1.2813,6.4283,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.6313,3.35,34.91354187,0.53641791,0.348671642
UPS_H3,1,1.2771,8.3089,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.9812,4.7041,33.10247732,0.494823665,0.321635382
