Site,Plant,Rep,Element,Concentration_mg-kg
FN,POPRC,2,Mn,175
FN,POPRC,3,Mn,241
FN,POPRC,1,Zn,26
FN,POPRC,2,Zn,25
FN,POPRC,3,Zn,30
FN,POPRC,1,P,2673
FN,POPRC,2,P,2590
FN,POPRC,3,P,2799
FN,POPRC,1,S,1450
FN,POPRC,2,S,1417
FN,POPRC,3,S,1450
MC,SORU,1,Al,48
MC,SORU,2,Al,47
MC,SORU,3,Al,42
MC,SORU,1,Fe,55
MC,SORU,2,Fe,57
MC,SORU,3,Fe,49
MC,SORU,1,Ca,12335
MC,SORU,2,Ca,11550
MC,SORU,3,Ca,11627
MC,SORU,1,K,17161
MC,SORU,2,K,16244
MC,SORU,3,K,16817
MC,SORU,1,Mg,3717
MC,SORU,2,Mg,3347
MC,SORU,3,Mg,3273
MC,SORU,1,Na,176
MC,SORU,2,Na,178
MC,SORU,3,Na,121
MC,SORU,1,B,54
MC,SORU,2,B,52
MC,SORU,3,B,54
MC,SORU,1,Mn,574
MC,SORU,2,Mn,508
MC,SORU,3,Mn,530
MC,SORU,1,Zn,49
MC,SORU,2,Zn,47
MC,SORU,3,Zn,47
MC,SORU,1,P,2246
MC,SORU,2,P,2017
MC,SORU,3,P,2002
MC,SORU,1,S,1019
MC,SORU,2,S,940
MC,SORU,3,S,914
MC,MISC,1,Al,74
MC,MISC,2,Al,71
MC,MISC,3,Al,80
MC,MISC,1,Fe,53
MC,MISC,2,Fe,59
MC,MISC,3,Fe,66
MC,MISC,1,Ca,10952
MC,MISC,2,Ca,11208
MC,MISC,3,Ca,10594
MC,MISC,1,K,12901
MC,MISC,2,K,13479
MC,MISC,3,K,13274
MC,MISC,1,Mg,2876
MC,MISC,2,Mg,2990
MC,MISC,3,Mg,2947
MC,MISC,1,Na,87
MC,MISC,2,Na,79
MC,MISC,3,Na,68
MC,MISC,1,B,32
MC,MISC,2,B,34
MC,MISC,3,B,32
MC,MISC,1,Mn,429
MC,MISC,2,Mn,440
MC,MISC,3,Mn,423
MC,MISC,1,Zn,23
MC,MISC,2,Zn,23
MC,MISC,3,Zn,28
MC,MISC,1,P,1983
MC,MISC,2,P,2120
MC,MISC,3,P,2129
MC,MISC,1,S,2456
MC,MISC,2,S,2342
MC,MISC,3,S,1986
MC,POPRC,1,Al,39
MC,POPRC,2,Al,40
MC,POPRC,3,Al,39
MC,POPRC,1,Fe,49
MC,POPRC,2,Fe,49
MC,POPRC,3,Fe,46
MC,POPRC,1,Ca,2499
