Digestion,Site,Rep,Element,Concentration_mg-kg
Total,SC,1,Ca,11925
Total,SC,2,Ca,11042
Total,SC,3,Ca,10607
Total,SC,1,K,11576
Total,SC,2,K,12412
Total,SC,3,K,12846
Total,SC,1,Mg,9147
Total,SC,2,Mg,8869
Total,SC,3,Mg,8905
Total,SC,1,Na,8223
Total,SC,2,Na,8450
Total,SC,3,Na,8389
Total,SC,1,B,113
Total,SC,2,B,70
Total,SC,3,B,82
Total,SC,1,Mn,1431
Total,SC,2,Mn,1347
Total,SC,3,Mn,1350
Total,SC,1,Zn,105
Total,SC,2,Zn,116
Total,SC,3,Zn,111
Total,SC,1,P,976
Total,SC,2,P,990
Total,SC,3,P,1024
Total,SC,1,S,804
Total,SC,2,S,805
Total,SC,3,S,891
Available,SC,1,Al,8
Available,SC,2,Al,9
Available,SC,3,Al,8
Available,SC,1,Fe,1
Available,SC,2,Fe,1
Available,SC,3,Fe,1
Available,SC,1,Ca,325
Available,SC,2,Ca,328
Available,SC,3,Ca,331
Available,SC,1,K,48
Available,SC,2,K,46
Available,SC,3,K,46
Available,SC,1,Mg,38
Available,SC,2,Mg,43
Available,SC,3,Mg,43
Available,SC,1,Na,23
Available,SC,2,Na,23
Available,SC,3,Na,22
Available,SC,1,B,0
Available,SC,2,B,0
Available,SC,3,B,0
Available,SC,1,Mn,34
Available,SC,2,Mn,35
Available,SC,3,Mn,35
Available,SC,1,Zn,1.2
Available,SC,2,Zn,1.2
Available,SC,3,Zn,1.2
Available,SC,1,P,1.5
Available,SC,2,P,1.4
Available,SC,3,P,1.5
Available,SC,1,S,14
Available,SC,2,S,13
Available,SC,3,S,13
Total,UP,1,Al,48091
Total,UP,2,Al,47707
Total,UP,3,Al,48738
Total,UP,1,Fe,23408
Total,UP,2,Fe,22939
Total,UP,3,Fe,23757
Total,UP,1,Ca,5858
Total,UP,2,Ca,6075
Total,UP,3,Ca,5884
Total,UP,1,K,18562
Total,UP,2,K,18320
Total,UP,3,K,18847
Total,UP,1,Mg,4455
Total,UP,2,Mg,4535
Total,UP,3,Mg,4776
Total,UP,1,Na,10067
Total,UP,2,Na,10039
Total,UP,3,Na,10083
Total,UP,1,B,35
Total,UP,2,B,44
Total,UP,3,B,36
Total,UP,1,Mn,396
Total,UP,2,Mn,366
Total,UP,3,Mn,379
Total,UP,1,Zn,68
Total,UP,2,Zn,61
Total,UP,3,Zn,77
Total,UP,1,P,651
Total,UP,2,P,554
Total,UP,3,P,576
Total,UP,1,S,1257
Total,UP,2,S,882
Total,UP,3,S,913
Available,UP,1,Al,7
Available,UP,2,Al,6
Available,UP,3,Al,6
Available,UP,1,Fe,5
Available,UP,2,Fe,4
Available,UP,3,Fe,5
Available,UP,1,Ca,467
Available,UP,2,Ca,530
Available,UP,3,Ca,505
Available,UP,1,K,52
Available,UP,2,K,56
Available,UP,3,K,53
Available,UP,1,Mg,73
Available,UP,2,Mg,82
Available,UP,3,Mg,77
Available,UP,1,Na,21
Available,UP,2,Na,21
Available,UP,3,Na,19
Available,UP,1,B,0
Available,UP,2,B,0
Available,UP,3,B,0
Available,UP,1,Mn,9
Available,UP,2,Mn,10
Available,UP,3,Mn,9
Available,UP,1,Zn,0.3
Available,UP,2,Zn,0.2
Available,UP,3,Zn,0.3
Available,UP,1,P,1.5
Available,UP,2,P,1.6
Available,UP,3,P,1.5
Available,UP,1,S,14
Available,UP,2,S,15
Available,UP,3,S,15
Total,YF,1,Al,75658
Total,YF,2,Al,74150
Total,YF,3,Al,76665
Total,YF,1,Fe,43938
