Sample ID,Day,N-NH4 (mg per mL),blank-corrected N-NH4 (mg per mL),N-NO3 (mg per mL),blank-corrected N-NO3 (mg per mL)
UPH_H1,1,0.2995751,-0.103277217,0.285065867,0.315966625
UPH_H2,1,0.55508735,0.152235033,0.0201816,0.051082358
UPH_H3,1,0.3677117,-0.035140617,0.204173067,0.235073825
UPH_H4,1,0.2281939,-0.174658417,-0.046436,-0.015535242
UPH_H5,1,0.31174235,-0.091109967,-0.0511944,-0.020293642
UPH_H6,1,0.1843918,-0.218460517,0.002734133,0.033634892
UPH_H8,1,0.244865,-0.157987317,0.1129408,0.143841558
UPH_V1,1,0.223327,-0.179525317,0.070937867,0.101838625
UPH_V2,1,0.58428875,0.181436433,0.231137333,0.262038092
UPH_V3,1,0.4163807,0.013528383,-0.0083688,0.022531958
UPH_V4,1,0.5048655,0.102013183,0.090089333,0.120990092
UPH_V5,1,1.1088755,0.706023183,0.266855667,0.297756425
UPH_V6,1,0.2918725,-0.110979817,-0.001027333,0.029873425
UPH_V7,1,1.46730775,1.064455433,0.234053667,0.264954425
UPH_V8,1,0.2569035,-0.145948817,-0.039296333,-0.008395575
UPS_H1,1,0.12735925,-0.275493067,1.757524333,1.788425092
UPS_H2,1,0.398369,-0.004483317,2.541127667,2.572028425
UPS_H3,1,0.179018,-0.223834317,4.390796,4.421696758
UPS_H4,1,0.283925,-0.118927317,4.133847,4.164747758
UPS_H5,1,0.233061,-0.169791317,2.756163,2.787063758
UPS_H6,1,0.1329225,-0.269929817,2.1903285,2.221229258
UPS_H7,1,0.2251135,-0.177738817,4.34706,4.377960758
UPS_H8,1,0.159944,-0.242908317,2.0099175,2.040818258
YFH_H1,1,0.090006,-0.312846317,1.238159333,1.269060092
YFH_H2,1,0.099543,-0.303309317,1.008545333,1.039446092
YFH_H3,1,0.147228,-0.255624317,1.338387667,1.369288425
YFH_H4,1,1.0071475,0.604295183,0.228586667,0.259487425
YFH_H5,1,0.131333,-0.271519317,2.422676,2.453576758
YFH_H6,1,0.566856,0.164003683,3.116985,3.147885758
YFH_H7,1,0.1551755,-0.247676817,2.674158,2.705058758
YFH_H8,1,0.7782595,0.375407183,2.683269667,2.714170425
YFH_V1,1,0.1043115,-0.298540817,4.5028695,4.533770258
YFH_V2,1,0.1615335,-0.241318817,3.095117,3.126017758
