Cage_ID,Rep,Tray_weight,Soil+tray_weight,Soil_weight,In-oven,Out-oven,Dry-soil+tray_weight,Dry_weight,Water_lost,Moist (g H2O g soil-1)
UPH_V1,1,1.289,6.0096,4.7206,10/14/24 11:00,10/18/24 17:00,4.9068,3.6178,1.1028,0.3048
UPH_V1,2,1.3096,5.1819,3.8723,10/14/24 11:00,10/18/24 16:50,4.2924,2.9828,0.8895,0.2982
UPH_V2,1,1.3126,4.5348,3.2222,10/19/24 13:30,10/30/24 16:15,3.8442,2.5316,0.6906,0.2728
UPH_V2,2,1.3011,4.8555,3.5544,10/19/24 13:30,10/30/24 16:15,4.1077,2.8066,0.7478,0.2664
UPH_V3,1,1.2791,6.4799,5.2008,10/14/24 11:00,10/18/24 16:50,5.2913,4.0122,1.1886,0.2962
UPH_V3,2,1.2832,7.5398,6.2566,10/14/24 11:00,10/18/24 17:00,6.0928,4.8096,1.447,0.3009
UPH_V4,1,1.0217,4.5923,3.5706,10/14/24 11:00,10/18/24 16:40,3.8165,2.7948,0.7758,0.2776
UPH_V4,2,1.2948,4.7306,3.4358,10/14/24 11:00,10/18/24 17:00,4.0011,2.7063,0.7295,0.2696
UPH_V5,1,1.295,5.8423,4.5473,10/14/24 11:00,10/18/24 16:50,4.9136,3.6186,0.9287,0.2566
UPH_V5,2,1.2922,7.4181,6.1259,10/14/24 11:00,10/18/24 16:50,6.1384,4.8462,1.2797,0.2641
UPH_V6,1,1.3007,3.8372,2.5365,10/18/24 15:30,10/20/24 12:30,3.2776,1.9769,0.5596,0.2831
UPH_V6,2,1.303,4.7067,3.4037,10/18/24 15:30,10/20/24 12:30,3.9443,2.6413,0.7624,0.2886
UPH_V7,1,1.2957,5.6951,4.3994,10/19/24 13:30,10/30/24 16:15,4.6981,3.4024,0.997,0.293
UPH_V7,2,1.2925,4.7277,3.4352,10/19/24 13:30,10/30/24 16:15,3.9519,2.6594,0.7758,0.2917
UPH_V8,1,1.2705,5.1311,3.8606,10/18/24 15:30,10/20/24 12:30,4.3061,3.0356,0.825,0.2718
UPH_V8,2,1.317,4.0579,2.7409,10/18/24 15:30,10/20/24 12:30,3.4936,2.1766,0.5643,0.2593
UPS_H1,1,1.291,4.5978,3.3068,10/19/24 13:30,10/30/24 16:15,3.8914,2.6004,0.7064,0.2717
UPS_H1,2,1.2771,5.3176,4.0405,10/19/24 13:30,10/30/24 16:15,4.4459,3.1688,0.8717,0.2751
UPS_H2,1,1.3369,5.4116,4.0747,10/30/24 16:40,11/3/24 18:15,4.5234,3.1865,0.8882,0.2787
UPS_H2,2,1.3131,4.6896,3.3765,10/30/24 16:40,11/3/24 18:15,3.9827,2.6696,0.7069,0.2648
UPS_H3,1,1.3035,5.2622,3.9587,10/30/24 16:40,11/3/24 18:15,4.5039,3.2004,0.7583,0.2369
UPS_H3,2,1.2844,5.4431,4.1587,10/30/24 16:40,11/3/24 18:15,4.6442,3.3598,0.7989,0.2378
UPS_H4,1,1.2935,5.804,4.5105,10/30/24 16:40,11/3/24 18:15,4.9807,3.6872,0.8233,0.2233
UPS_H4,2,1.4437,6.2871,4.8434,10/30/24 16:40,11/3/24 18:15,5.3462,3.9025,0.9409,0.2411
UPS_H5,1,1.299,4.9308,3.6318,10/19/24 13:30,10/30/24 16:15,4.1356,2.8366,0.7952,0.2803
UPS_H5,2,1.293,5.5822,4.2892,10/19/24 13:30,10/30/24 16:15,4.6488,3.3558,0.9334,0.2781
UPS_H6,1,1.2971,3.8453,2.5482,10/30/24 16:40,11/3/24 18:15,3.1622,1.8651,0.6831,0.3663
UPS_H6,2,1.3004,3.4191,2.1187,10/30/24 16:40,11/3/24 18:15,2.8711,1.5707,0.548,0.3489
UPS_H7,1,1.3,3.0703,1.7703,10/30/24 16:40,11/3/24 18:15,2.6725,1.3725,0.3978,0.2898
UPS_H7,2,1.2825,2.5894,1.3069,10/30/24 16:40,11/3/24 18:15,2.3059,1.0234,0.2835,0.277
UPS_H8,1,1.2443,3.9983,2.754,10/30/24 16:40,11/3/24 18:15,3.3323,2.088,0.666,0.319
UPS_H8,2,1.3113,6.0823,4.771,10/30/24 16:40,11/3/24 18:15,4.9719,3.6606,1.1104,0.3033
YFH_H1,1,1.2974,4.1742,2.8768,10/31/24 10:45,11/3/24 18:45,3.5962,2.2988,0.578,0.2514
YFH_H1,2,1.2891,4.5101,3.221,10/31/24 10:45,11/3/24 18:45,3.8049,2.5158,0.7052,0.2803
YFH_H2,1,1.3014,4.2173,2.9159,10/31/24 10:45,11/3/24 18:45,3.617,2.3156,0.6003,0.2592
