Cage_ID,Rep,Tray_weight,Soil+tray_weight,Soil_weight,In-oven,Out-oven,Dry-soil+tray_weight,Dry_weight,Water_lost,Moist (g H2O g soil-1)
DCH_H1,1,1.2689,4.4193,3.1504,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.5722,2.3033,0.8471,0.3678
DCH_H2,1,1.2683,4.4539,3.1856,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.736,2.4677,0.7179,0.2909
DCH_H3,1,1.2684,3.7855,2.5171,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.1827,1.9143,0.6028,0.3149
DCH_H4,1,1.2717,4.2136,2.9419,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.5288,2.2571,0.6848,0.3034
DCH_H5,1,1.2695,3.8462,2.5767,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.1957,1.9262,0.6505,0.3377
DCH_H6,1,1.2741,3.8131,2.539,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.1965,1.9224,0.6166,0.3207
DCH_H7,1,1.272,4.049,2.777,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.3788,2.1068,0.6702,0.3181
DCH_H8,1,1.2694,4.0978,2.8284,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.3699,2.1005,0.7279,0.3465
DCH_V1,1,1.2712,3.8416,2.5704,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.2135,1.9423,0.6281,0.3234
DCH_V2,1,1.2775,4.0692,2.7917,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.3903,2.1128,0.6789,0.3213
DCH_V3,1,1.278,3.5549,2.2769,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,2.9202,1.6422,0.6347,0.3865
DCH_V4,1,1.2729,3.9931,2.7202,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.2385,1.9656,0.7546,0.3839
DCH_V5,1,1.2731,3.7897,2.5166,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.2028,1.9297,0.5869,0.3041
DCH_V6,1,1.2755,3.7268,2.4513,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.1017,1.8262,0.6251,0.3423
DCH_V7,1,1.3007,4.0152,2.7145,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.3833,2.0826,0.6319,0.3034
DCH_V8,1,1.2714,4.0372,2.7658,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.3309,2.0595,0.7063,0.3429
DCN_H1,1,1.2695,4.1634,2.8939,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.4962,2.2267,0.6672,0.2996
DCN_H2,1,1.2681,4.2118,2.9437,16-Oct 2:00PM (third shelf),10/17/24 14:45,3.5073,2.2392,0.7045,0.3146
DCN_H3,1,1.2717,4.5728,3.3011,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.7796,2.5079,0.7932,0.3163
DCN_H4,1,1.2781,4.3545,3.0764,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.6843,2.4062,0.6702,0.2785
DCN_H5,1,1.2715,4.328,3.0565,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.6314,2.3599,0.6966,0.2952
DCN_H6,1,1.2737,3.9449,2.6712,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.3736,2.0999,0.5713,0.2721
DCN_H7,1,1.2678,4.3355,3.0677,10/16/2023 12:00:00 (second shelf),10/17/24 11:15,3.6794,2.4116,0.6561,0.2721
DCN_H8,1,1.2707,4.191,2.9203,10/16/2023 10:00:00 (bottom left),10/17/24 10:00,3.5611,2.2904,0.6299,0.275
DCS_H1,1,1.2894,4.3456,3.0562,16-Oct 2:00PM (third shelf),10/17/24 14:45,3.6493,2.3599,0.6963,0.2951
DCS_H2,1,1.2822,5.2739,3.9917,16-Oct 2:00PM (third shelf),10/17/24 14:45,4.1909,2.9087,1.083,0.3723
DCS_H4,1,1.2695,4.2589,2.9894,16-Oct 2:00PM (third shelf),10/17/24 14:45,3.5874,2.3179,0.6715,0.2897
DCS_H5,1,1.2663,4.5188,3.2525,10/16/2023 16:00:00 (top),10/17/24 15:45,3.6993,2.433,0.8195,0.3368
DCS_H6,1,1.3021,4.5213,3.2192,16-Oct 2:00PM (third shelf),10/17/24 14:45,3.7372,2.4351,0.7841,0.322
