Sample_ID,Site,Population,Treatment_PopType,Year,CO2CperHourperg,Overall_mineralization_rate,SORU_Biomass,POPRC_Biomass,MISC_Biomass,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,PlantDiversity,average_SOM
FNN_H7,UP,FN,Reactor,2023,2.2007005667848603,0.07442392689954369,84.72286348501665,44.62678075292503,10.488319220923373,0.1,0.9,1.1,1.6,2.3,2.4,41,41,44,44.9,1.215485112649764,NA
FNS_H1,YF,FN,Reactor,2021,2.315771301658285,-3.79092823058338,24.267631014793665,66.71065028487816,22.762879591830178,0.1,1.3,2.7,2.3,2.9,2.5,43.4,45.5,43.5,47.4,1.3082125889072447,6.983873690999999
FNS_H1,YF,FN,Reactor,2023,2.5319467497338377,3.766953319385541,6.741353383458653,14.30573176693679,134.0255328451197,0.2,0.7,0,1.4,2.1,3.4,46.3,0,42.3,45.8,1.0183771005510498,NA
FNS_H2,YF,FN,Reactor,2021,1.0658770995293136,8.66052212501279,40.14669680768233,54.19197430305837,21.573649529839063,0.2,0.9,1.9,1.9,2.2,2.2,45.7,43.9,41.5,47,1.3612585548293386,5.2995748515
FNS_H2,YF,FN,Reactor,2023,3.2296139868486384,23.58811471659814,-4.360902255639089,52.757022858920614,65.22859328888403,0.2,1.2,1.5,2,0,3.4,44.9,44.6,42.5,0,1.2161494075590578,NA
FNS_H3,YF,FN,Reactor,2021,1.5370918529649933,6.480142386998608,14.059660147936667,63.29646592620003,39.41210045970579,0.3,3,2.4,2.2,2.3,2.8,65.6,45.8,41.9,47.1,1.407390178272803,5.1668772815
FNS_H3,YF,FN,Reactor,2023,2.86551204594008,12.99126881823626,-4.360902255639089,72.37502851809603,22.640011658833387,0.2,1.1,1,1.5,0,2.8,45.5,45.5,46.6,0,0.5552505662779199,NA
FNS_H4,YF,FN,Reactor,2021,1.6390931935621034,7.699386864676748,4.985908266286002,64.43452737909274,46.54748083165248,0.1,1.1,2.2,2.3,2,2,44.8,39.6,40.8,46.7,1.5844581836944323,5.2915721455
FNS_H4,YF,FN,Reactor,2023,3.0834887628812764,-2.8241108969697946,-4.360902255639089,54.32646331165464,60.31452617772434,0.2,1.2,2.1,1.8,0,3,44.2,43.2,44.5,0,0.7329713378402893,NA
FNS_H5,YF,FN,Reactor,2021,1.7964260416963094,3.784858143239016,9.522784207111334,56.46809720884379,51.30440107961694,0.2,1.3,2.5,2.4,2.6,2.2,46,44.7,45.6,47.4,1.5755954323927375,4.828939506
FNS_H5,YF,FN,Reactor,2023,2.835907394138731,6.737586497312961,-4.360902255639089,81.79167123450023,2.9837432141946265,0.1,1,1.5,1.4,0,1.8,45.9,43,42.7,0,0.3623566434494742,NA
FNS_H6,YF,FN,Reactor,2021,1.7140343144652865,20.592994901502152,18.596536088762,84.91963353116147,10.870578971919029,0.2,1.1,2.5,2.3,1.9,2.4,45.1,45.8,42.8,45.6,1.0102923596968594,5.7068667665
FNS_H6,YF,FN,Reactor,2023,2.316712166060921,32.14189143931497,30.79624060150376,44.909820595250444,50.48639195540496,0.2,1.7,2,2,2.2,2.7,45.2,44.6,42.9,46.8,1.3699953831003386,NA
FNS_H7,YF,FN,Reactor,2021,1.4892838261087835,7.642571630208163,8.388565221905,70.12483464355627,35.84441027373244,0.1,1.4,3.1,2.7,3.2,2,43,45.4,42.8,47.5,1.4749566456821197,5.642961023
FNS_H7,YF,FN,Reactor,2023,2.6489423797089997,8.812383435543396,-2.5105263157894653,79.43751055539919,6.259787954967753,0.2,1.5,2.1,2.6,2.4,3.2,44.7,44,45.5,47.9,0.4558980727687001,NA
FNS_H8,YF,FN,Reactor,2021,1.1068294700051768,6.194110097947167,14.059660147936667,62.15840447330732,41.79056058368802,0.3,1.2,2.3,2.3,2.9,4.7,44.3,37.4,43.3,43.4,1.739667524305169,4.893007481
