unique.id,moistureFraction,moisturePercent
24_8,0.27397547,27.39754699
25_1,0.296639289,29.66392893
25_2,0.272060574,27.20605743
25_4,0.293294604,29.32946038
25_5,0.301325799,30.13257987
25_6,0.336826963,33.68269626
25_7,0.311211757,31.12117571
26_1,0.296639289,29.66392893
26_2,0.272060574,27.20605743
26_4,0.293294604,29.32946038
26_6,0.336826963,33.68269626
26_6,0.301325799,30.13257987
26_7,0.311211757,31.12117571
27_1,0.328131432,32.81314322
27_2,0.298387442,29.83874417
27_3,0.278530463,27.8530463
27_5,0.319638162,31.96381623
27_6,0.359979079,35.99790786
27_7,0.384265556,38.42655559
28_1,0.328131432,32.81314322
28_2,0.298387442,29.83874417
28_3,0.278530463,27.8530463
28_5,0.319638162,31.96381623
28_6,0.359979079,35.99790786
28_7,0.384265556,38.42655559
29_1,0.291913309,29.19133091
29_2,0.386493728,38.64937279
29_3,0.342947317,34.29473173
29_4,0.304759899,30.47598989
29_5,0.346255226,34.62552263
29_6,0.264478764,26.44787645
29_7,0.312009318,31.20093176
30_1,0.291913309,29.19133091
30_2,0.386493728,38.64937279
30_3,0.342947317,34.29473173
30_4,0.304759899,30.47598989
30_5,0.346255226,34.62552263
30_6,0.264478764,26.44787645
30_7,0.312009318,31.20093176
31_1,0.295181999,29.51819992
31_2,0.279232928,27.9232928
31_3,0.275589618,27.5589618
31_4,0.281693865,28.16938652
31_5,0.301296683,30.1296683
31_6,0.339540428,33.95404283
31_7,0.289701885,28.97018853
32_1,0.295181999,29.51819992
32_2,0.279232928,27.9232928
32_3,0.275589618,27.5589618
32_4,0.281693865,28.16938652
32_5,0.301296683,30.1296683
32_6,0.339540428,33.95404283
32_7,0.289701885,28.97018853
33_1,0.315835868,31.58358676
33_3,0.327657838,32.76578381
33_7,0.38298265,38.29826504
34_1,0.315835868,31.58358676
34_3,0.327657838,32.76578381
34_7,0.38298265,38.29826504
35_1,0.321327149,32.13271488
35_3,0.290918669,29.09186692
35_5,0.320744902,32.07449022
35_7,0.28506555,28.50655505
36_1,0.321327149,32.13271488
36_3,0.290918669,29.09186692
36_5,0.320744902,32.07449022
36_7,0.28506555,28.50655505
37_1,0.319557196,31.95571956
37_5,0.367776668,36.77766683
37_7,0.260445951,26.04459506
38_1,0.319557196,31.95571956
38_5,0.367776668,36.77766683
38_7,0.260445951,26.04459506
39_1,0.267464572,26.74645722
39_3,0.315285434,31.5285434
39_5,0.322551998,32.25519981
39_7,0.360451252,36.04512519
40_1,0.267464572,26.74645722
40_3,0.315285434,31.5285434
40_5,0.322551998,32.25519981
40_7,0.360451252,36.04512519
41_3,0.302470924,30.24709242
41_5,0.277081581,27.70815812
41_7,0.425282928,42.5282928
42_3,0.302470924,30.24709242
42_5,0.277081581,27.70815812
42_7,0.425282928,42.5282928
43_1,0.299636233,29.9636233
43_5,0.346536539,34.65365389
43_7,0.297493404,29.74934037
44_1,0.299636233,29.9636233
44_5,0.346536539,34.65365389
44_7,0.297493404,29.74934037
45_1,0.292598902,29.25989021
45_3,0.272060043,27.20600431
45_5,0.29173952,29.17395198
45_7,0.314837927,31.48379275
46_1,0.292598902,29.25989021
46_3,0.272060043,27.20600431
46_5,0.29173952,29.17395198
46_7,0.314837927,31.48379275
47_3,0.28346019,28.34601899
47_5,0.323379499,32.33794985
47_7,0.321999097,32.19990965
48_3,0.28346019,28.34601899
48_5,0.323379499,32.33794985
48_7,0.321999097,32.19990965
