"","unique.id","CO2CperHourperg"
"1","01_1",2.34252403684543
"2","01_2",2.23807887393122
"3","02_1",2.182637241472
"4","02_2",2.1633222596385
"5","03_1",2.98253366704776
"6","03_2",2.75789615672406
"7","04_1",2.97343771959416
"8","04_2",2.11879235338383
"9","05_1",2.11296103525437
"10","05_2",2.71244628593074
"11","06_1",2.27559576795234
"12","06_2",2.70742595100735
"13","07_1",4.05042798275363
"14","07_2",2.82006239255285
"15","08_1",3.66454137689907
"16","08_2",2.70519264376608
"17","09_1",2.2884295948931
"18","09_2",3.15818572560637
"19","10_1",2.69215948335356
"20","10_2",2.73531520451787
"21","11_1",2.67233126767343
"22","11_2",1.82551539837754
"23","12_1",2.48586348628057
"24","12_2",NA
"25","13_1",2.51726189730292
"26","13_2",2.47844330585193
"27","14_1",3.12254710742236
"28","14_2",2.50721390067888
"29","15_1",2.1535233524104
"30","15_2",2.4017332469893
"31","16_1",2.37264419753097
"32","16_2",2.74732308471055
"33","17_1",2.24826453097143
"34","17_2",2.39741557453098
"35","18_1",2.60499542654786
"36","18_2",2.30953825535227
"37","19_1",2.26517520434246
"38","19_2",2.34339183485213
"39","20_1",2.50568697445771
"40","20_2",2.41996257060301
"41","21_1",2.63939261422512
"42","21_2",3.75987577832259
"43","22_1",2.66376610098872
"44","22_2",3.20415403190448
"45","23_1",2.4126873999125
"46","23_2",2.2778654543048
"47","24_1",1.97797420069998
"48","24_2",2.22981226898709
"49","25_1",2.71207986158857
"50","25_2",3.16812201401292
"51","26_1",2.53728749654438
"52","26_2",3.29918729729265
"53","27_1",2.45561394405809
"54","27_2",2.17756256742722
"55","28_1",2.71134241198373
"56","28_2",2.25430751502844
"57","29_1",2.58977649775921
"58","29_2",3.80826655784935
"59","30_1",2.55581623637541
"60","30_2",3.55126080181524
"61","31_1",2.2406688547129
"62","31_2",1.91155856785024
"63","32_1",2.14325716817856
"64","32_2",2.17986851892199
"65","33_1",2.18232777028788
"66","34_1",2.2957267538075
"67","35_1",2.28407513567841
"68","36_1",2.32279835954218
"69","37_1",2.57034092154617
"70","38_1",2.43790714844459
"71","39_1",5.57246497595491
"72","40_1",6.58352004966306
"73","41_1",2.54635914560031
"74","42_1",2.39345757809646
"75","43_1",2.24137905980224
"76","44_1",2.28678828480698
"77","45_1",2.12543072302142
"78","46_1",2.00840673124705
"79","47_1",2.19661430781825
"80","48_1",2.10290728884408
"81","01_3",2.77812669804595
"82","01_4",3.3370128652745
"83","02_3",3.23551924985073
"84","02_4",3.44036475592376
"85","03_3",3.05025906029027
"86","03_4",2.16980052984335
"87","04_3",2.98355139956341
"88","04_4",2.21908628961828
"89","05_3",4.97679256388276
"90","05_4",2.35667132797397
