CageID,Rep,Set_Date,Set_Weight,Collection_Date,Collection_Weight,Notes
DCH_H1,1,6/29/21,2,9/21/21,1.21,
DCH_H1,2,6/29/21,2,9/21/21,1.208,
DCH_H2,1,6/29/21,2,9/20/21,1.247,
DCH_H2,2,6/29/21,2,9/20/21,1.222,
DCH_H3,1,6/29/21,2,9/20/21,1.225, 
DCH_H3,2,6/29/21,2,9/20/21,1.233,
DCH_H4,1,6/29/21,2,9/20/21,1.226,
DCH_H4,2,6/29/21,2,9/20/21,1.219,
DCH_H5,1,6/29/21,2,9/20/21,1.261,
DCH_H5,2,6/29/21,2,9/20/21,1.246,
DCH_H6,1,6/29/21,2,9/20/21,1.2,
DCH_H6,2,6/29/21,2,9/20/21,1.229,
DCH_H7,1,6/29/21,2,9/20/21,1.197,
DCH_H7,2,6/29/21,2,9/20/21,1.228,
DCH_H8,1,6/29/21,2,9/20/21,1.203,
DCH_H8,2,6/29/21,2,9/20/21,1.238,
DCH_V1,1,6/29/21,2,9/20/21,1.206,
DCH_V1,2,6/29/21,2,9/20/21,1.215,
DCH_V2,1,6/29/21,2,9/20/21,1.312,
DCH_V2,2,6/29/21,2,9/20/21,1.245,
DCH_V3,1,6/29/21,2,9/20/21,1.229,
DCH_V3,2,6/29/21,2,9/20/21,1.26,
DCH_V4,1,6/29/21,2,9/20/21,1.22,
DCH_V4,2,6/29/21,2,9/20/21,1.215,
DCH_V5,1,6/29/21,2,9/20/21,1.232,
DCH_V5,2,6/29/21,2,9/20/21,1.239,
DCH_V6,1,6/29/21,2,9/20/21,1.224,
DCH_V6,2,6/29/21,2,9/20/21,1.211,
DCH_V7,1,6/29/21,2,9/20/21,1.233,
DCH_V7,2,6/29/21,2,9/20/21,1.223,
DCH_V8,1,6/29/21,2,9/20/21,1.212,
DCH_V8,2,6/29/21,2,9/20/21,1.239,
DCN_H1,1,7/8/21,2,9/22/21,1.239,
DCN_H1,2,7/8/21,2,9/22/21,1.233,
DCN_H2,1,7/8/21,2,9/22/21,1.232,
DCN_H2,2,7/8/21,2,9/22/21,1.243,
DCN_H3,1,7/8/21,2,9/30/21,1.222,
DCN_H3,2,7/8/21,2,9/30/21,1.235,
DCN_H4,1,7/8/21,2,9/22/21,1.224,
DCN_H4,2,7/8/21,2,9/22/21,1.232,
DCN_H5,1,7/8/21,2,9/22/21,1.232,
DCN_H5,2,7/8/21,2,9/22/21,1.227,
DCN_H6,1,7/8/21,2,9/22/21,1.229,
DCN_H6,2,7/8/21,2,9/22/21,1.232,
DCN_H7,1,7/8/21,2,9/22/21,1.231,
DCN_H7,2,7/8/21,2,9/22/21,1.237,
DCN_H8,1,7/8/21,2,9/30/21,1.232,
DCN_H8,2,7/8/21,2,9/30/21,1.23,
DCS_H1,1,7/5/21,2,9/15/21,1.224,
DCS_H1,2,7/5/21,2,9/15/21,1.224,
DCS_H2,1,7/5/21,2,9/16/21,1.177,
DCS_H2,2,7/5/21,2,9/16/21,1.234,
DCS_H3,1,7/5/21,2,9/15/21,1.218,
DCS_H3,2,7/5/21,2,9/15/21,1.222,
DCS_H4,1,7/5/21,2,9/15/21,1.22,
DCS_H4,2,7/5/21,2,9/15/21,1.231,
DCS_H5,1,7/5/21,2,9/16/21,1.203,
DCS_H5,2,7/5/21,2,9/16/21,1.21,
DCS_H6,1,7/5/21,2,9/16/21,1.207,
DCS_H6,2,7/5/21,2,9/16/21,1.209,
DCS_H7,1,7/5/21,2,9/16/21,0.983,
DCS_H7,2,7/5/21,2,9/16/21,1.115,
DCS_H8,1,7/5/21,2,9/15/21,1.217,
DCS_H8,2,7/5/21,2,9/15/21,1.224,
FNH_H1,1,6/28/21,2,9/27/21,1.212,
FNH_H1,2,6/28/21,2,9/27/21,1.206,
FNH_H2,1,6/28/21,2,9/27/21,1.04,
FNH_H2,2,6/28/21,2,9/27/21,1.188,
FNH_H3,1,6/28/21,2,9/27/21,1.175,
FNH_H3,2,6/28/21,2,9/27/21,1.175,
FNH_H4,1,6/28/21,2,9/27/21,1.177,
FNH_H4,2,6/28/21,2,9/27/21,1.171,
FNH_H5,1,6/28/21,2,9/27/21,0.993,
FNH_H5,2,6/28/21,2,9/27/21,1.071,
FNH_H6,1,6/28/21,2,9/27/21,1.143,
FNH_H6,2,6/28/21,2,9/27/21,0.997,
FNH_H7,1,6/28/21,2,9/27/21,1.23,
FNH_H7,2,6/28/21,2,9/27/21,1.346,
FNH_H8,1,6/28/21,2,9/27/21,1.235,
FNH_H8,2,6/28/21,2,9/27/21,1.226,
FNH_V1,1,6/28/21,2,9/27/21,1.13,
FNH_V1,2,6/28/21,2,9/27/21,1.169,
FNH_V2,1,6/28/21,2,9/27/21,1.175,
FNH_V2,2,6/28/21,2,9/27/21,1.048,
FNH_V3,1,6/28/21,2,9/27/21,1.182,
FNH_V3,2,6/28/21,2,9/27/21,1.194,
FNH_V4,1,6/28/21,2,9/27/21,1.194,
FNH_V4,2,6/28/21,2,9/27/21,1.153,
FNH_V5,1,6/28/21,2,9/27/21,1.191,
FNH_V5,2,6/28/21,2,9/27/21,1.262,
FNH_V6,1,6/28/21,2,9/27/21,1.16,
FNH_V6,2,6/28/21,2,9/27/21,1.194,
FNH_V7,1,6/28/21,2,9/27/21,1.2,
FNH_V7,2,6/28/21,2,9/27/21,1.204,
FNH_V8,1,6/28/21,2,9/27/21,1.221,
FNH_V8,2,6/28/21,2,9/27/21,1.224,
FNN_H1,1,7/8/21,2,9/30/21,1.238,
FNN_H1,2,7/8/21,2,9/30/21,1.248,
FNN_H2,1,7/8/21,2,9/30/21,1.25,
FNN_H2,2,7/8/21,2,9/30/21,1.249,
FNN_H3,1,7/8/21,2,9/30/21,1.234,
FNN_H3,2,7/8/21,2,9/30/21,1.225,
FNN_H4,1,7/8/21,2,9/22/21,1.239,
FNN_H4,2,7/8/21,2,9/22/21,1.228,
FNN_H5,1,7/8/21,2,9/30/21,1.243,
FNN_H5,2,7/8/21,2,9/30/21,1.337,
FNN_H6,1,7/8/21,2,9/30/21,1.23,
FNN_H6,2,7/8/21,2,9/30/21,1.228,
FNN_H7,1,7/8/21,2,9/30/21,1.243,
FNN_H7,2,7/8/21,2,9/30/21,1.248,
FNN_H8,1,7/8/21,2,9/22/21,1.235,
FNN_H8,2,7/8/21,2,9/22/21,1.221,
FNS_H1,1,7/5/21,2,9/16/21,1.029,
FNS_H1,2,7/5/21,2,9/16/21,1.136,
FNS_H2,1,7/5/21,2,9/16/21,1.219,
FNS_H2,2,7/5/21,2,9/16/21,1.198,
FNS_H3,1,7/5/21,2,9/15/21,1.203,
FNS_H3,2,7/5/21,2,9/15/21,1.152,
FNS_H4,1,7/5/21,2,9/16/21,1.208,
FNS_H4,2,7/5/21,2,9/16/21,1.229,
FNS_H5,1,7/5/21,2,9/16/21,1.219,
FNS_H5,2,7/5/21,2,9/16/21,1.224,
FNS_H6,1,7/5/21,2,9/15/21,1.227,
FNS_H6,2,7/5/21,2,9/15/21,1.235,
FNS_H7,1,7/5/21,2,9/16/21,1.206,
FNS_H7,2,7/5/21,2,9/16/21,1.182,
FNS_H8,1,7/5/21,2,9/16/21,1.231,
FNS_H8,2,7/5/21,2,9/16/21,1.225,
SCH_H1,1,7/9/21,2,9/28/21,1.196,
SCH_H1,2,7/9/21,2,9/28/21,1.203,
SCH_H2,1,7/9/21,2,9/28/21,1.055,
SCH_H2,2,7/9/21,2,9/28/21,1.13,
SCH_H3,1,7/9/21,2,9/28/21,1.228,
SCH_H3,2,7/9/21,2,9/28/21,1.227,
SCH_H4,1,7/9/21,2,9/28/21,1.22,
SCH_H4,2,7/9/21,2,9/28/21,1.222,
SCH_H5,1,7/9/21,2,9/28/21,1.217,
SCH_H5,2,7/9/21,2,9/28/21,1.23,
SCH_H6,1,7/9/21,2,9/28/21,1.175,
SCH_H6,2,7/9/21,2,9/28/21,1.091,
SCH_H7,1,7/9/21,2,9/28/21,1.214,
SCH_H7,2,7/9/21,2,9/28/21,1.209,
SCH_H8,1,7/9/21,2,9/28/21,1.194,
SCH_H8,2,7/9/21,2,9/28/21,1.198,
SCH_V1,1,7/9/21,2,9/28/21,1.208,
SCH_V1,2,7/9/21,2,9/28/21,1.213,
SCH_V2,1,7/9/21,2,9/28/21,1.139,
SCH_V2,2,7/9/21,2,9/28/21,1.202,
SCH_V3,1,7/9/21,2,9/28/21,1.146,
SCH_V3,2,7/9/21,2,9/28/21,1.173,
SCH_V4,1,7/9/21,2,9/28/21,1.192,
SCH_V4,2,7/9/21,2,9/28/21,1.195,
SCH_V5,1,7/9/21,2,9/28/21,1.094,
SCH_V5,2,7/9/21,2,9/28/21,1.207,
SCH_V6,1,7/9/21,2,9/28/21,1.205,
SCH_V6,2,7/9/21,2,9/28/21,1.189,
SCH_V7,1,7/9/21,2,9/28/21,1.073,
SCH_V7,2,7/9/21,2,9/28/21,0.755,
SCH_V8,1,7/9/21,2,9/28/21,1.165,
SCH_V8,2,7/9/21,2,9/28/21,1.205,
SCN_H1,1,7/8/21,2,9/22/21,1.235,
SCN_H1,2,7/8/21,2,9/22/21,1.206,
SCN_H2,1,7/8/21,2,9/22/21,1.237,
SCN_H2,2,7/8/21,2,9/22/21,1.238,
SCN_H3,1,7/8/21,2,9/30/21,1.226,
SCN_H3,2,7/8/21,2,9/30/21,1.227,
SCN_H4,1,7/8/21,2,9/30/21,1.236,
SCN_H4,2,7/8/21,2,9/30/21,1.293,
SCN_H5,1,7/8/21,2,9/30/21,1.226,
SCN_H5,2,7/8/21,2,9/30/21,1.235,
SCN_H6,1,7/8/21,2,9/30/21,1.212,
SCN_H6,2,7/8/21,2,9/30/21,1.231,
SCN_H7,1,7/8/21,2,9/23/21,1.224,
SCN_H7,2,7/8/21,2,9/23/21,1.227,
SCN_H8,1,7/8/21,2,9/22/21,1.226,
SCN_H8,2,7/8/21,2,9/22/21,1.228,
SCS_H1,1,7/5/21,2,9/16/21,1.233,
SCS_H1,2,7/5/21,2,9/16/21,1.238,
