CageID,Rep,Set_Date,Set_Weight,Collection_Date,Collection_Weight,Notes
SCS_H2,1,7/5/21,2,9/15/21,1.238,
SCS_H2,2,7/5/21,2,9/15/21,1.239,
SCS_H3,1,7/5/21,2,9/15/21,1.222,
SCS_H3,2,7/5/21,2,9/15/21,1.209,
SCS_H3,3,7/5/21,2,9/16/21,1.232,
SCS_H3,4,7/5/21,2,9/16/21,1.222,
SCS_H4,1,7/5/21,2,9/16/21,1.221,
SCS_H4,2,7/5/21,2,9/16/21,1.094,
SCS_H5,1,7/5/21,2,9/15/21,1.298,
SCS_H5,2,7/5/21,2,9/15/21,1.175,
SCS_H6,1,7/5/21,2,9/15/21,1.227,
SCS_H6,2,7/5/21,2,9/15/21,1.214,
SCS_H7,1,7/5/21,2,9/15/21,1.214,
SCS_H7,2,7/5/21,2,9/15/21,1.237,
SCS_H8,1,7/5/21,2,9/16/21,1.226,
SCS_H8,2,7/5/21,2,9/16/21,1.232,
UPH_H1,1,7/8/21,2,9/22/21,1.243,
UPH_H1,2,7/8/21,2,9/22/21,1.226,
UPH_H2,1,7/8/21,2,9/30/21,1.243,
UPH_H2,2,7/8/21,2,9/30/21,1.227,
UPH_H3,1,7/8/21,2,9/22/21,1.234,
UPH_H3,2,7/8/21,2,9/22/21,1.24,
UPH_H4,1,7/8/21,2,9/22/21,1.233,
UPH_H4,2,7/8/21,2,9/22/21,1.23,
UPH_H5,1,7/8/21,2,9/22/21,1.246,
UPH_H5,2,7/8/21,2,9/22/21,1.243,
UPH_H6,1,7/8/21,2,9/22/21,1.222,
UPH_H6,2,7/8/21,2,9/22/21,1.244,
UPH_H7,1,7/8/21,2,9/22/21,1.227,
UPH_H7,2,7/8/21,2,9/22/21,1.225,
UPH_H8,1,7/8/21,2,9/22/21,1.242,
UPH_H8,2,7/8/21,2,9/22/21,1.239,
UPH_V1,1,7/8/21,2,9/22/21,1.23,
UPH_V1,2,7/8/21,2,9/22/21,1.227,
UPH_V2,1,7/8/21,2,9/24/21,1.239,
UPH_V2,2,7/8/21,2,9/24/21,1.232,
UPH_V3,1,7/8/21,2,9/22/21,1.239,
UPH_V3,2,7/8/21,2,9/22/21,1.229,
UPH_V4,1,7/8/21,2,9/22/21,1.238,
UPH_V4,2,7/8/21,2,9/22/21,1.231,
UPH_V5,1,7/8/21,2,9/22/21,1.243,
UPH_V5,2,7/8/21,2,9/22/21,1.226,
UPH_V6,1,7/8/21,2,9/22/21,1.227,
UPH_V6,2,7/8/21,2,9/22/21,1.228,
UPH_V7,1,7/8/21,2,9/22/21,1.245,
UPH_V7,2,7/8/21,2,9/22/21,1.242,
UPH_V8,1,7/8/21,2,9/30/21,1.233,
UPH_V8,2,7/8/21,2,9/30/21,1.227,
UPS_H1,1,7/5/21,2,9/16/21,1.228,
UPS_H1,2,7/5/21,2,9/16/21,1.173,
UPS_H2,1,7/5/21,2,9/15/21,1.227,
UPS_H2,2,7/5/21,2,9/15/21,1.221,
UPS_H3,1,7/5/21,2,9/15/21,1.218,
UPS_H3,2,7/5/21,2,9/15/21,1.173,
UPS_H4,1,7/5/21,2,9/15/21,1.174,
UPS_H4,2,7/5/21,2,9/15/21,1.184,
UPS_H5,1,7/5/21,2,9/16/21,1.229,
UPS_H5,2,7/5/21,2,9/16/21,1.222,
UPS_H6,1,7/5/21,2,9/16/21,1.244,
UPS_H6,2,7/5/21,2,9/16/21,1.256,
UPS_H7,1,7/5/21,2,9/16/21,1.24,
UPS_H7,2,7/5/21,2,9/16/21,1.209,
UPS_H8,1,7/5/21,2,9/15/21,1.204,
UPS_H8,2,7/5/21,2,9/15/21,1.207,
YFH_H1,1,7/5/21,2,9/16/21,1.189,
YFH_H1,2,7/5/21,2,9/16/21,1.174,
YFH_H2,1,7/5/21,2,9/16/21,1.239,
YFH_H2,2,7/5/21,2,9/16/21,1.224,
YFH_H3,1,7/5/21,2,9/16/21,1.224,
YFH_H3,2,7/5/21,2,9/16/21,1.225,
YFH_H4,1,7/5/21,2,9/16/21,1.235,
YFH_H4,2,7/5/21,2,9/16/21,1.216,
YFH_H5,1,7/5/21,2,9/15/21,1.081,
YFH_H5,2,7/5/21,2,9/15/21,1.214,
YFH_H6,1,7/5/21,2,9/16/21,1.21,
YFH_H6,2,7/5/21,2,9/16/21,1.221,
YFH_H7,1,7/5/21,2,9/16/21,1.221,
YFH_H7,2,7/5/21,2,9/16/21,0.934,
YFH_H8,1,7/5/21,2,9/16/21,1.183,
YFH_H8,2,7/5/21,2,9/16/21,1.207,
YFH_V1,1,7/5/21,2,9/15/21,1.222,
YFH_V1,2,7/5/21,2,9/15/21,1.216,
YFH_V2,1,7/5/21,2,9/13/21,1.141,
YFH_V2,2,7/5/21,2,9/13/21,1.228,
YFH_V3,1,7/5/21,2,9/16/21,1.218,
YFH_V3,2,7/5/21,2,9/16/21,1.226,
YFH_V4,1,7/5/21,2,9/15/21,1.226,
YFH_V4,2,7/5/21,2,9/15/21,1.218,
YFH_V5,1,7/5/21,2,9/15/21,1.228,
YFH_V5,2,7/5/21,2,9/15/21,1.205,
YFH_V6,1,7/5/21,2,9/13/21,1.227,
YFH_V6,2,7/5/21,2,9/13/21,1.217,
YFH_V7,1,7/5/21,2,9/15/21,1.234,
YFH_V7,2,7/5/21,2,9/15/21,1.216,
YFH_V8,1,7/5/21,2,9/16/21,1.136,
YFH_V8,2,7/5/21,2,9/16/21,1.234,
YFN_H1,1,7/8/21,2,9/22/21,1.215,
YFN_H1,2,7/8/21,2,9/22/21,1.216,
YFN_H2,1,7/8/21,2,9/30/21,1.231,
YFN_H2,2,7/8/21,2,9/30/21,1.231,
YFN_H3,1,7/8/21,2,9/22/21,1.236,
YFN_H3,2,7/8/21,2,9/22/21,1.232,
YFN_H4,1,7/8/21,2,9/22/21,1.23,
YFN_H4,2,7/8/21,2,9/22/21,1.24,
YFN_H5,1,7/8/21,2,9/22/21,1.237,
YFN_H5,2,7/8/21,2,9/22/21,1.243,
YFN_H6,1,7/8/21,2,9/22/21,1.235,
YFN_H6,2,7/8/21,2,9/22/21,1.224,
YFN_H7,1,7/8/21,2,9/30/21,1.227,
YFN_H7,2,7/8/21,2,9/30/21,1.241,
YFN_H8,1,7/8/21,2,9/22/21,1.224,
YFN_H8,2,7/8/21,2,9/22/21,1.225,
